Config: no_reasoning
Comparable arm×outcome pairs : 193
Pearson  r = 0.561  (p=0.000)
Spearman r = -0.047  (p=0.515)

Per-study breakdown:
  seq= 19  Morality-Efficiency Tradeoffs: An Experimental Study     n=2  r=nan  p=nan
  seq=103  Beliefs about the Labor Market Impact of Immigration     n=8  r=-0.064  p=0.880
  seq=118  Sharing Responsibility for the Good                      n=6  r=0.011  p=0.983
  seq=141  Attitudes towards hiring decisions                       n=6  r=-0.033  p=0.950
  seq=150  Combatting COVID-19: Measuring and Changing Beliefs, Kn  n=4  r=0.690  p=0.310
  seq=151  The Effect of Self-awareness on Dishonesty (Wave 2)      n=10  r=-0.655  p=0.040
  seq=159  Fake News: Susceptibility, Awareness and Solutions       n=8  r=-0.021  p=0.961
  seq=162  Job Characteristics and Attraction to Public Sector Emp  n=8  r=0.402  p=0.323
  seq=164  Polarization and openness to others                      n=15  r=-0.413  p=0.126
  seq=169  Preferences for Giving Versus Preferences for Redistrib  n=8  r=-0.712  p=0.048
  seq=174  Effects of COVID information on Consumer Behavior and P  n=105  r=-0.660  p=0.000
  seq=176  A Word is Worth A Thousand Words: Biased Beliefs about   n=3  r=0.994  p=0.071
  seq=178  Rational inattention, macroeconomic expectation, and co  n=10  r=-0.592  p=0.072

Normalized statistics (within-study z-scored):
  Pooled normalized Pearson  r = -0.448  (p=0.000)  n=191 pairs
  Fisher z-transform weighted r = -0.468  (12 studies contributing)

Excluded / flagged:
  seq= 19  100k_cash_agency_pays                     degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  100k_cash_agency_pays                     degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  100k_cash_recipient_pays                  degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  100k_cash_recipient_pays                  degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  100k_noncash_agency_pays                  degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  100k_noncash_agency_pays                  degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  100k_noncash_recipient_pays               degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  100k_noncash_recipient_pays               degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  30k_cash_agency_pays                      degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  30k_cash_agency_pays                      degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  30k_cash_recipient_pays                   degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  30k_cash_recipient_pays                   degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  30k_noncash_agency_pays                   degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  30k_noncash_agency_pays                   degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  30k_noncash_recipient_pays                degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  30k_noncash_recipient_pays                degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  all_paid_donor_systems                    degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  all_paid_donor_systems                    degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  always_in_favor                           degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  always_in_favor                           degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  always_opposed                            degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  always_opposed                            degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  current_system                            degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  current_system                            degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  favor_to_opposed                          degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  favor_to_opposed                          degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  opposed_to_favor                          degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  opposed_to_favor                          degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  other                                     degree_of_favor_for_alternative_regulatory_regimes  outcome not found in GT extraction
  seq= 19  other                                     degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  systems_with_compensation_from_a_public_agency  degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq= 19  systems_with_payments_from_recipients     degree_of_moral_concern_associated_with_alternativ  outcome not found in GT extraction
  seq=125  hh_pts                                    subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  hh_pts                                    subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  hh_pts                                    subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  hh_pts                                    subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  hh_pts_1                                  subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  hh_pts_1                                  subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  hh_pts_1                                  subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  hh_pts_1                                  subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  hl_pts                                    subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  hl_pts                                    subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  hl_pts                                    subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  hl_pts                                    subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  hl_pts_1                                  subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  hl_pts_1                                  subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  hl_pts_1                                  subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  hl_pts_1                                  subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  lh_pts                                    subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  lh_pts                                    subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  lh_pts                                    subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  lh_pts                                    subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  lh_pts_1                                  subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  lh_pts_1                                  subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  lh_pts_1                                  subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  lh_pts_1                                  subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  ll_pts                                    subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  ll_pts                                    subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  ll_pts                                    subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  ll_pts                                    subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=125  ll_pts_1                                  subjective_well_being_mood_short_form_item_1  outcome not found in GT extraction
  seq=125  ll_pts_1                                  subjective_well_being_mood_short_form_item_2  outcome not found in GT extraction
  seq=125  ll_pts_1                                  subjective_well_being_mood_short_form_item_3  outcome not found in GT extraction
  seq=125  ll_pts_1                                  subjective_well_being_mood_short_form_item_4  outcome not found in GT extraction
  seq=131  community_empowerment_organization        donation              outcome not found in GT extraction
  seq=131  individual_empowerment_organization       donation              outcome not found in GT extraction
  seq=131  poverty_alleviation_organization          donation              outcome not found in GT extraction
  seq=141  all_constant                              pro_women_attitude    outcome not found in GT extraction
  seq=141  all_constant                              pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  control_group                             pro_women_attitude    outcome not found in GT extraction
  seq=141  control_group                             pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  man_discr                                 pro_women_attitude    outcome not found in GT extraction
  seq=141  man_discr                                 pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  man_discr_1st_judgment                    pro_women_attitude    outcome not found in GT extraction
  seq=141  man_discr_1st_judgment                    pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  man_discr_2nd_judgment                    pro_women_attitude    outcome not found in GT extraction
  seq=141  man_discr_2nd_judgment                    pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  mturk_sample                              pro_women_attitude    outcome not found in GT extraction
  seq=141  mturk_sample                              pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  no_discrimination                         pro_women_attitude    outcome not found in GT extraction
  seq=141  no_discrimination                         pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  qualtrics_sample                          pro_women_attitude    outcome not found in GT extraction
  seq=141  qualtrics_sample                          pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  same_effort                               pro_women_attitude    outcome not found in GT extraction
  seq=141  same_effort                               pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  same_suffering                            pro_women_attitude    outcome not found in GT extraction
  seq=141  same_suffering                            pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  woman_discr                               pro_women_attitude    outcome not found in GT extraction
  seq=141  woman_discr                               pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  woman_discr_1st_judgment                  pro_women_attitude    outcome not found in GT extraction
  seq=141  woman_discr_1st_judgment                  pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=141  woman_discr_2nd_judgment                  pro_women_attitude    outcome not found in GT extraction
  seq=141  woman_discr_2nd_judgment                  pro_women_attitude_after_reflection  outcome not found in GT extraction
  seq=145  10_20k_15y                                choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  10_20k_20y                                choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  10_30k_15y                                choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  10_30k_20y                                choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  5_20k_15y                                 choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  5_20k_20y                                 choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  5_30k_15y                                 choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  5_30k_20y                                 choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  exempt_income_20_000                      choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  exempt_income_30_000                      choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  percent_income_10                         choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  percent_income_5                          choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  years_until_loan_forgiveness_15           choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=145  years_until_loan_forgiveness_20           choice_of_income_based_repayment_plan_over_the_10  outcome not found in GT extraction
  seq=151  controlgroup                              cheaptalksenderreceivergame  outcome not found in GT extraction
  seq=151  highdishonestytr                          cheaptalksenderreceivergame  outcome not found in GT extraction
  seq=151  honestytreatment                          cheaptalksenderreceivergame  outcome not found in GT extraction
  seq=151  lowdishonestytr                           cheaptalksenderreceivergame  outcome not found in GT extraction
  seq=151  treatmentgroups                           cheaptalksenderreceivergame  outcome not found in GT extraction
  seq=152  black_discriminatees_less_justifiable     fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  black_discriminatees_more_justifiable     fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  less_justifiable_statistical_discrimination  fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  less_justifiable_taste_based_discrimination  fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  more_justifiable_statistical_discrimination  fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  more_justifiable_taste_based_discrimination  fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  sb                                        fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
