seq_id,study_label,arm_id,outcome_id,outcome_name,control_arm,gt_delta,llm_effect,gt_treatment_mean,gt_control_mean,gt_n_treatment,gt_n_control,metric,comparable,note
12,Does Reading During the Summer Build Reading Skills? Evidence from a Randomized Experiment in 463 Classrooms,project_reads,fall_reading_comprehension,Fall ITBS reading comprehension score,control,0.014,,0.014,0.0,,,mean,False,llm control mean missing
19,Paying for Kidneys? A Randomized Survey and Choice Experiment,system_1,support_full_demand,Support for alternative system at 100 percent of annual demand,current_system,0.4,,0.7,0.3,,,proportion,False,llm control mean missing
19,Paying for Kidneys? A Randomized Survey and Choice Experiment,system_1,support_no_transplant_gain,Support for alternative system at 0 additional transplants,current_system,0.14,,0.57,0.43,,,proportion,False,llm control mean missing
47,Disaggregating Deliberation’s Effects: An Experiment within a Deliberative Poll,focal_issue_deliberated_first,airport_end_vs_expand_t2,Airport attitude index at T2: ending service versus expanding service,focal_issue_not_deliberated_first,-0.161,,0.332,0.493,64,68,mean,False,llm control mean missing
47,Disaggregating Deliberation’s Effects: An Experiment within a Deliberative Poll,focal_issue_deliberated_first,revenue_nonmandatory_vs_local_t2,Revenue-sharing attitude index at T2: non-mandatory sharing versus local control,focal_issue_not_deliberated_first,0.246,,0.16,-0.086,68,64,mean,False,llm control mean missing
47,Disaggregating Deliberation’s Effects: An Experiment within a Deliberative Poll,focal_issue_deliberated_first,revenue_nonmandatory_vs_mandatory_t2,Revenue-sharing attitude index at T2: non-mandatory sharing versus mandatory sharing,focal_issue_not_deliberated_first,0.033,,0.244,0.211,68,64,mean,False,llm control mean missing
72,The Effect of Effectiveness: Donor Response to Aid Effectiveness in a Direct Mail Fundraising Experiment,no_yale,donation_amount,Donation amount within five months,control,7.45,,22.54,15.09,5903,5960,mean,False,llm control mean missing
72,The Effect of Effectiveness: Donor Response to Aid Effectiveness in a Direct Mail Fundraising Experiment,no_yale,gave_any_donation,Made any donation within five months,control,-0.011,,0.182,0.193,5903,5960,proportion,False,llm control mean missing
72,The Effect of Effectiveness: Donor Response to Aid Effectiveness in a Direct Mail Fundraising Experiment,treatment,donation_amount,Donation amount within five months,control,0.7,,10.11,9.41,5631,5630,mean,False,llm control mean missing
72,The Effect of Effectiveness: Donor Response to Aid Effectiveness in a Direct Mail Fundraising Experiment,treatment,gave_any_donation,Made any donation within five months,control,0.001,,0.159,0.158,5631,5630,proportion,False,llm control mean missing
72,The Effect of Effectiveness: Donor Response to Aid Effectiveness in a Direct Mail Fundraising Experiment,yale,donation_amount,Donation amount within five months,control,0.58,,15.67,15.09,5921,5960,mean,False,llm control mean missing
72,The Effect of Effectiveness: Donor Response to Aid Effectiveness in a Direct Mail Fundraising Experiment,yale,gave_any_donation,Made any donation within five months,control,-0.002,,0.191,0.193,5921,5960,proportion,False,llm control mean missing
96,Why Don’t People Insure Late-Life Consumption? A Framing Explanation of the Under-Annuitization Puzzle,consumption_weak_bequest,prefer_life_annuity_over_20_year_annuity,Preferred life annuity over 20-year period annuity,investment_weak_bequest,0.29,,0.77,0.48,,,proportion,False,llm control mean missing
96,Why Don’t People Insure Late-Life Consumption? A Framing Explanation of the Under-Annuitization Puzzle,consumption_weak_bequest,prefer_life_annuity_over_35_year_annuity,Preferred life annuity over 35-year period annuity,investment_weak_bequest,0.36,,0.76,0.4,,,proportion,False,llm control mean missing
96,Why Don’t People Insure Late-Life Consumption? A Framing Explanation of the Under-Annuitization Puzzle,consumption_weak_bequest,prefer_life_annuity_over_consol,Preferred life annuity over consol bond,investment_weak_bequest,0.44,,0.71,0.27,,,proportion,False,llm control mean missing
96,Why Don’t People Insure Late-Life Consumption? A Framing Explanation of the Under-Annuitization Puzzle,consumption_weak_bequest,prefer_life_annuity_over_savings,Preferred life annuity over savings account,investment_weak_bequest,0.51,,0.72,0.21,,,proportion,False,llm control mean missing
103,Labor Market Concerns and Support for Immigration,research_evidence,petition_increase_h2b,Signed petition to increase annual H-2B cap,control,0.027,,0.066,0.039,,,proportion,False,llm control mean missing
